AlarmEvent,AlarmId,AlarmMsg,AlarmTime,Channel,PicInfo.ObjName,PicInfo.ObjSize,PicInfo.StorageBucket,VideoInfo.VideoLength,PicErr
VideoMotion:2,2489224125,,2024-08-09 22:41:26,0,003/003_ba39b3962a4bfe81_2489224125.jpeg,46881.0,OBS_sg-ai-img,,
VideoMotion:2,2489223753,,2024-08-09 22:37:54,0,003/003_ba39b3962a4bfe81_2489223753.jpeg,45826.0,OBS_sg-ai-img,,
VideoMotion:2,248922361,,2024-08-09 22:36:01,0,003/003_ba39b3962a4bfe81_248922361.jpeg,45590.0,OBS_sg-ai-img,,
VideoMotion:2,2489223420,,2024-08-09 22:34:20,0,003/003_ba39b3962a4bfe81_2489223420.jpeg,52306.0,OBS_sg-ai-img,,
VideoMotion:2,2489223031,,2024-08-09 22:30:32,0,003/003_ba39b3962a4bfe81_2489223031.jpeg,45783.0,OBS_sg-ai-img,,
VideoMotion:2,2489222841,,2024-08-09 22:28:41,0,003/003_ba39b3962a4bfe81_2489222841.jpeg,45366.0,OBS_sg-ai-img,,
VideoMotion:2,2489222651,,2024-08-09 22:26:52,0,003/003_ba39b3962a4bfe81_2489222651.jpeg,45256.0,OBS_sg-ai-img,10.0,
VideoMotion:2,2489222352,,2024-08-09 22:23:52,0,003/003_ba39b3962a4bfe81_2489222352.jpeg,45214.0,OBS_sg-ai-img,10.0,
VideoMotion:2,2489222258,,2024-08-09 22:22:58,0,003/003_ba39b3962a4bfe81_2489222258.jpeg,45362.0,OBS_sg-ai-img,,
VideoMotion:2,2489221945,,2024-08-09 22:19:45,0,003/003_ba39b3962a4bfe81_2489221945.jpeg,45410.0,OBS_sg-ai-img,,
VideoMotion:2,2489221747,,2024-08-09 22:17:48,0,003/003_ba39b3962a4bfe81_2489221747.jpeg,45482.0,OBS_sg-ai-img,,
VideoMotion:2,2489221547,,2024-08-09 22:15:48,0,003/003_ba39b3962a4bfe81_2489221547.jpeg,45517.0,OBS_sg-ai-img,,
VideoMotion:2,248922151,,2024-08-09 22:15:01,0,003/003_ba39b3962a4bfe81_248922151.jpeg,45570.0,OBS_sg-ai-img,,
VideoMotion:2,2489221226,,2024-08-09 22:12:27,0,003/003_ba39b3962a4bfe81_2489221226.jpeg,45723.0,OBS_sg-ai-img,,
VideoMotion:2,248922843,,2024-08-09 22:08:43,0,003/003_ba39b3962a4bfe81_248922843.jpeg,46009.0,OBS_sg-ai-img,,
VideoMotion:2,248922632,,2024-08-09 22:06:32,0,003/003_ba39b3962a4bfe81_248922632.jpeg,45952.0,OBS_sg-ai-img,,
